Datum;plusminus
06.08.2018;0,35
03.08.2018;0,46
02.08.2018;0,49
01.08.2018;-0,1
31.07.2018;0,49
30.07.2018;-0,58
27.07.2018;-0,66
26.07.2018;-0,3
25.07.2018;0,91
24.07.2018;0,48
23.07.2018;0,18
20.07.2018;-0,09
19.07.2018;-0,4
18.07.2018;0,22
17.07.2018;0,4
16.07.2018;-0,1
13.07.2018;0,11
12.07.2018;0,87
11.07.2018;-0,71
10.07.2018;0,35
09.07.2018;0,88
06.07.2018;0,85
05.07.2018;0,86
03.07.2018;-0,49
02.07.2018;0,31
29.06.2018;0,08
28.06.2018;0,62
27.06.2018;-0,86
26.06.2018;0,22
25.06.2018;-1,37
22.06.2018;0,19
21.06.2018;-0,63
20.06.2018;0,17
19.06.2018;-0,4
18.06.2018;-0,21
15.06.2018;-0,1
14.06.2018;0,25
13.06.2018;-0,4
12.06.2018;0,17
11.06.2018;0,11
08.06.2018;0,31
07.06.2018;-0,07
06.06.2018;0,86
05.06.2018;0,07
04.06.2018;0,45
01.06.2018;1,08
31.05.2018;-0,69
30.05.2018;1,27
29.05.2018;-1,16
25.05.2018;-0,24
24.05.2018;-0,2
23.05.2018;0,32
22.05.2018;-0,31
21.05.2018;0,74
18.05.2018;-0,26
17.05.2018;-0,09
16.05.2018;0,41
15.05.2018;-0,68
14.05.2018;0,09
11.05.2018;0,17
10.05.2018;0,94
09.05.2018;0,97
08.05.2018;-0,03
07.05.2018;0,35
04.05.2018;1,28
03.05.2018;-0,23
02.05.2018;-0,72
01.05.2018;0,25
30.04.2018;-0,82
27.04.2018;0,11
26.04.2018;1,04
25.04.2018;0,18
24.04.2018;-1,34
23.04.2018;0,01
20.04.2018;-0,85
19.04.2018;-0,57
18.04.2018;0,08
17.04.2018;1,07
16.04.2018;0,81
13.04.2018;-0,29
12.04.2018;0,83
11.04.2018;-0,55
10.04.2018;1,67
09.04.2018;0,33
06.04.2018;-2,19
05.04.2018;0,69
04.04.2018;1,16
03.04.2018;1,26
02.04.2018;-2,23
29.03.2018;1,38
28.03.2018;-0,29
27.03.2018;-1,73
26.03.2018;2,72
23.03.2018;-2,1
22.03.2018;-2,52
21.03.2018;-0,18
20.03.2018;0,15
19.03.2018;-1,42
16.03.2018;0,17
15.03.2018;-0,08
14.03.2018;-0,57
13.03.2018;-0,64
12.03.2018;-0,13
09.03.2018;1,74
08.03.2018;0,45
07.03.2018;-0,05
06.03.2018;0,26
05.03.2018;1,1
02.03.2018;0,51
01.03.2018;-1,33
28.02.2018;-1,11
27.02.2018;-1,27
26.02.2018;1,18
23.02.2018;1,6
22.02.2018;0,1
21.02.2018;-0,55
20.02.2018;-0,58
16.02.2018;0,04
15.02.2018;1,21
14.02.2018;1,34
13.02.2018;0,26
12.02.2018;1,39
09.02.2018;1,49
08.02.2018;-3,75
07.02.2018;-0,5
06.02.2018;1,74
05.02.2018;-4,1
02.02.2018;-2,12
01.02.2018;-0,06
31.01.2018;0,05
30.01.2018;-1,09
29.01.2018;-0,67
26.01.2018;1,18
25.01.2018;0,06
24.01.2018;-0,06
23.01.2018;0,22
22.01.2018;0,81
19.01.2018;0,44
18.01.2018;-0,16
17.01.2018;0,94
16.01.2018;-0,35
12.01.2018;0,67
11.01.2018;0,7
10.01.2018;-0,11
09.01.2018;0,13
08.01.2018;0,17
05.01.2018;0,7
04.01.2018;0,4
03.01.2018;0,64
02.01.2018;0,83
29.12.2017;-0,52
28.12.2017;0,18
27.12.2017;0,08
26.12.2017;-0,11
22.12.2017;-0,05
21.12.2017;0,2
20.12.2017;-0,08
19.12.2017;-0,32
18.12.2017;0,54
15.12.2017;0,9
